corpus,category_name,category_count,total
age_120_192_pos_adv_categories,pos_adv_categories,593,15792
age_24_36_pos_adv_categories,pos_adv_categories,103666,2034320
TD_pos_adv_categories,pos_adv_categories,54107,1733674
age_60_72_pos_adv_categories,pos_adv_categories,5414,154902
age_96_108_pos_adv_categories,pos_adv_categories,1550,52228
open_subtitles_pos_adv_categories,pos_adv_categories,86394,3372394
age_48_60_pos_adv_categories,pos_adv_categories,21329,618135
age_108_120_pos_adv_categories,pos_adv_categories,1957,56786
age_84_96_pos_adv_categories,pos_adv_categories,2974,89843
switchboard_pos_adv_categories,pos_adv_categories,2712,96809
simple_wiki_pos_adv_categories,pos_adv_categories,4079,1061302
age_12_24_pos_adv_categories,pos_adv_categories,32985,583845
bnc_spoken_pos_adv_categories,pos_adv_categories,14078,634795
age_120_192_frag,frag,851,15792
age_60_72_frag,frag,10010,154902
open_subtitles_frag,frag,158305,3372394
age_72_84_frag,frag,4498,75965
age_24_36_frag,frag,201884,2034320
age_84_96_frag,frag,5428,89843
age_0_12_frag,frag,11031,170390
simple_wiki_frag,frag,621,1061302
age_12_24_frag,frag,42356,583845
switchboard_frag,frag,16159,96809
age_36_48_frag,frag,65717,772316
bnc_spoken_frag,frag,87637,634795
age_48_60_frag,frag,45012,618135
age_96_108_frag,frag,2639,52228
age_108_120_frag,frag,2905,56786
TD_frag,frag,68175,1733674
age_36_48_aux,aux,12323,772316
age_96_108_aux,aux,358,52228
age_108_120_aux,aux,645,56786
age_24_36_aux,aux,24263,2034320
open_subtitles_aux,aux,45329,3372394
age_60_72_aux,aux,1837,154902
switchboard_aux,aux,386,96809
age_120_192_aux,aux,175,15792
TD_aux,aux,30846,1733674
age_84_96_aux,aux,825,89843
age_72_84_aux,aux,792,75965
simple_wiki_aux,aux,1126,1061302
age_0_12_aux,aux,1690,170003
age_48_60_aux,aux,8598,618135
bnc_spoken_aux,aux,4241,634795
age_12_24_aux,aux,6405,583845
open_subtitles,aux,45329,3372394
age_48_60_complexq,complexq,33266,618135
age_108_120_complexq,complexq,1703,56786
switchboard_complexq,complexq,715,96809
bnc_spoken_complexq,complexq,11471,634795
TD_complexq,complexq,32000,1733674
age_12_24_complexq,complexq,46923,583845
open_subtitles_complexq,complexq,86832,3372394
age_60_72_complexq,complexq,8126,154902
age_0_12_complexq,complexq,10532,170003
age_96_108_complexq,complexq,1904,52228
age_72_84_complexq,complexq,3569,75965
age_120_192_complexq,complexq,451,15792
age_84_96_complexq,complexq,3492,89843
age_36_48_complexq,complexq,45341,772316
age_24_36_complexq,complexq,133323,2034320
simple_wiki_complexq,complexq,148,1061302
open_subtitles_negation_simple,negation_simple,88862,3372394
age_60_72_negation_simple,negation_simple,4234,154902
simple_wiki_negation_simple,negation_simple,1249,1061302
age_12_24_negation_simple,negation_simple,10772,583845
age_36_48_negation_simple,negation_simple,25848,772316
TD_negation_simple,negation_simple,17661,1733674
age_0_12_negation_simple,negation_simple,3593,170003
age_96_108_negation_simple,negation_simple,719,52228
age_120_192_negation_simple,negation_simple,424,15792
age_24_36_negation_simple,negation_simple,59205,2034320
bnc_spoken_negation_simple,negation_simple,11708,634795
age_108_120_negation_simple,negation_simple,1107,56786
age_48_60_negation_simple,negation_simple,18487,618135
age_72_84_negation_simple,negation_simple,1340,75965
switchboard_negation_simple,negation_simple,1195,96809
age_84_96_negation_simple,negation_simple,1634,89843
age_48_60_embedded,embedded,2388,618135
age_108_120_embedded,embedded,205,56786
switchboard_embedded,embedded,27,96809
open_subtitles_embedded,embedded,10951,3372394
TD_embedded,embedded,7713,1733674
age_12_24_embedded,embedded,3039,583845
bnc_spoken_embedded,embedded,409,634795
age_72_84_embedded,embedded,154,75965
age_96_108_embedded,embedded,67,52228
age_60_72_embedded,embedded,585,154902
age_0_12_embedded,embedded,1182,170390
simple_wiki_embedded,embedded,3,1061302
age_36_48_embedded,embedded,3492,772316
age_24_36_embedded,embedded,8291,2034320
open_subtitles,embedded,12801,20655118
age_84_96_embedded,embedded,190,89843
age_120_192_embedded,embedded,42,15792
age_60_72_to,to,654,154902
age_36_48_to,to,4100,772316
age_96_108_to,to,104,52228
simple_wiki_to,to,636,1061302
age_12_24_to,to,2675,583845
bnc_spoken_to,to,912,634795
age_120_192_to,to,65,15792
TD_to,to,5351,1733674
age_24_36_to,to,9450,2034320
open_subtitles_to,to,12801,3372394
age_0_12_to,to,841,170003
age_48_60_to,to,2468,618135
age_84_96_to,to,271,89843
age_72_84_to,to,203,75965
age_108_120_to,to,204,56786
switchboard_to,to,93,96809
age_96_108_questions,questions,1359,52228
age_60_72_questions,questions,6423,154902
age_72_84_questions,questions,2664,75965
age_12_24_questions,questions,29270,583845
age_48_60_questions,questions,26854,618135
TD_questions,questions,47420,1733674
age_24_36_questions,questions,110606,2034320
age_108_120_questions,questions,1489,56786
age_84_96_questions,questions,2839,89843
switchboard_questions,questions,1026,96809
open_subtitles_questions,questions,65810,3372394
age_36_48_questions,questions,42719,772316
bnc_spoken_questions,questions,16747,634795
age_0_12_questions,questions,10031,170390
age_120_192_questions,questions,536,15792
simple_wiki_questions,questions,50,1061302
